flickr_id,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
Test01_City_D01,67.29,640,480,0,30.0,0,0,0
Test01_City_D02,24.86,640,480,0,15.1515151515152,0,0,0
Test01_City_D03,17.96,640,480,0,14.4608977325312,0,0,0
Test01_City_D04,30.23,640,480,0,30.0035404177693,0,0,0
Test01_City_D05,25.08,640,480,0,14.6897668146416,0,0,0
Test01_City_D06,43.78,640,480,0,28.6007647844503,0,0,0
Test01_City_D07,51.67,640,480,0,28.4746959614339,0,0,0
Test01_City_D08,63.68,640,480,0,25.0,0,0,0
Test01_City_D09,64.95,640,480,0,25.0,0,0,0
Test01_Talking_Head_D01,69.37,640,480,0,30.0,0,0,0
Test01_Talking_Head_D02,31.65,640,480,0,15.1515151515152,0,0,0
Test01_Talking_Head_D03,31.98,640,480,0,14.7156639413257,0,0,0
Test01_Talking_Head_D04,30.87,640,480,0,30.0633434646801,0,0,0
Test01_Talking_Head_D05,35.1,640,480,0,14.753875843184,0,0,0
Test01_Talking_Head_D06,38.22,640,480,0,27.5269764369082,0,0,0
Test01_Talking_Head_D07,35.99,640,480,0,29.526570961208,0,0,0
Test01_Talking_Head_D08,53.69,640,480,0,25.0,0,0,0
Test01_Talking_Head_D09,64.59,640,480,0,25.0,0,0,0
Test01_Traffic_D01,67.74,640,480,0,30.0,0,0,0
Test01_Traffic_D02,29.57,640,480,0,15.1515151515152,0,0,0
Test01_Traffic_D03,27.76,640,480,0,14.8486036373139,0,0,0
Test01_Traffic_D04,25.72,640,480,0,29.9869856482287,0,0,0
Test01_Traffic_D05,30.21,640,480,0,14.8648487947581,0,0,0
Test01_Traffic_D06,43.36,640,480,0,28.173934602663,0,0,0
Test01_Traffic_D07,65.53,640,480,0,29.4539531623237,0,0,0
Test01_Traffic_D08,63.4,640,480,0,25.0,0,0,0
Test01_Traffic_D09,60.7,640,480,0,25.0,0,0,0
Test02_City_D01,53.35,640,480,0,30.0,0,0,0
Test02_City_D02,9.99,640,480,0,29.9559946438682,0,0,0
Test02_City_D03,18.83,640,480,0,14.9628472502776,0,0,0
Test02_City_D04,9.25,640,480,0,14.8487359271105,0,0,0
Test02_City_D05,45.91,640,480,0,29.0683309255066,0,0,0
Test02_City_D06,38.99,640,480,0,24.9490415825676,0,0,0
Test02_City_D07,62.54,640,480,0,29.5268325090426,0,0,0
Test02_City_D08,36.88,640,480,0,29.7398653973692,0,0,0
Test02_City_D09,56.28,640,480,0,25.0,0,0,0
Test02_City_D10,0.21,640,480,0,29.415225320626,0,0,0
Test02_Talking_Head_D01,64.68,640,480,0,30.0,0,0,0
Test02_Talking_Head_D02,22.64,640,480,0,30.0044406572173,0,0,0
Test02_Talking_Head_D03,22.11,640,480,0,14.9496495802138,0,0,0
Test02_Talking_Head_D04,16.69,640,480,0,14.7466525098803,0,0,0
Test02_Talking_Head_D05,46.3,640,480,0,28.7288627392396,0,0,0
Test02_Talking_Head_D06,24.35,640,480,0,23.1511492230474,0,0,0
Test02_Talking_Head_D07,36.58,640,480,0,29.5268325090426,0,0,0
Test02_Talking_Head_D08,35.7,640,480,0,29.8687566831343,0,0,0
Test02_Talking_Head_D09,64.84,640,480,0,25.0,0,0,0
Test02_Talking_Head_D10,33.8,640,480,0,29.7981769475344,0,0,0
Test02_Traffic_D01,69.62,640,480,0,30.0,0,0,0
Test02_Traffic_D02,25.39,640,480,0,29.985726794046,0,0,0
Test02_Traffic_D03,21.78,640,480,0,14.9650864533044,0,0,0
Test02_Traffic_D04,24.69,640,480,0,14.8469281705615,0,0,0
Test02_Traffic_D05,30.89,640,480,0,28.6703001493723,0,0,0
Test02_Traffic_D06,34.66,640,480,0,24.1699437082011,0,0,0
Test02_Traffic_D07,61.43,640,480,0,29.4611554665174,0,0,0
Test02_Traffic_D08,29.35,640,480,0,29.8775915075934,0,0,0
Test02_Traffic_D09,64.3,640,480,0,25.0,0,0,0
Test02_Traffic_D10,27.35,640,480,0,29.5801978323631,0,0,0
Test03_City_D01,34.75,1280,720,0,31.5796122023622,0,0,0
Test03_City_D02,16.48,1280,720,0,29.97002997003,0,0,0
Test03_City_D03,57.62,1280,720,0,30.0,0,0,0
Test03_City_D04,13.96,1280,720,0,21.124543973907,0,0,0
Test03_City_D05,22.47,1280,720,0,29.97002997003,0,0,0
Test03_City_D06,12.85,1280,720,0,14.8999986590001,0,0,0
Test03_City_D07,35.74,1280,720,0,30.109961579689,0,0,0
Test03_City_D08,30.01,1280,720,0,24.3699752157352,0,0,0
Test03_City_D09,30.86,1280,720,0,28.9200389842125,0,0,0
Test03_City_D10,50.12,1280,720,0,24.3200715982908,0,0,0
Test03_City_D11,15.47,1280,720,0,22.2299780145517,0,0,0
Test03_City_D12,20.65,1280,720,0,29.0999671170372,0,0,0
Test03_City_D13,32.65,1280,720,0,29.5800228357776,0,0,0
Test03_Newspaper_D01,50.49,1280,720,0,30.0,0,0,0
Test03_Newspaper_D02,36.79,1280,720,0,29.97002997003,0,0,0
Test03_Newspaper_D03,55.89,1280,720,0,30.0,0,0,0
Test03_Newspaper_D04,39.98,1280,720,0,23.5728412581297,0,0,0
Test03_Newspaper_D05,40.1,1280,720,0,29.97002997003,0,0,0
Test03_Newspaper_D06,31.2,1280,720,0,14.9000208600292,0,0,0
Test03_Newspaper_D07,49.85,1280,720,0,30.05999975952,0,0,0
Test03_Newspaper_D08,47.8,1280,720,0,24.6900168385915,0,0,0
Test03_Newspaper_D09,47.22,1280,720,0,29.4400791349327,0,0,0
Test03_Newspaper_D10,49.95,1280,720,0,25.0,0,0,0
Test03_Newspaper_D11,46.51,1280,720,0,23.9100027496503,0,0,0
Test03_Newspaper_D12,41.32,1280,720,0,29.0999671170372,0,0,0
Test03_Newspaper_D13,38.65,1280,720,0,29.5800228357776,0,0,0
Test03_Talking_Head_D01,39.03,1280,720,0,20.0,0,0,0
Test03_Talking_Head_D02,36.32,1280,720,0,29.97002997003,0,0,0
Test03_Talking_Head_D03,67.38,1280,720,0,30.0,0,0,0
Test03_Talking_Head_D04,27.86,1280,720,0,14.0935785428085,0,0,0
Test03_Talking_Head_D05,36.98,1280,720,0,29.97002997003,0,0,0
Test03_Talking_Head_D06,28.2,1280,720,0,14.8999986590001,0,0,0
Test03_Talking_Head_D07,35.29,1280,720,0,30.1400003014,0,0,0
Test03_Talking_Head_D08,46.1,1280,720,0,24.6499704200355,0,0,0
Test03_Talking_Head_D09,37.85,1280,720,0,29.5201209144153,0,0,0
Test03_Talking_Head_D10,53.33,1280,720,0,25.0,0,0,0
Test03_Talking_Head_D11,38.37,1280,720,0,23.5800116956858,0,0,0
Test03_Talking_Head_D12,20.86,1280,720,0,29.0999671170372,0,0,0
Test03_Talking_Head_D13,32.72,1280,720,0,29.5400030721603,0,0,0
Test04_City_D01,61.85,1280,720,0,29.97002997003,0,0,0
Test04_City_D02,70.56,1280,720,0,25.0,0,0,0
Test04_City_D03,68.6,1280,720,0,25.0,0,0,0
Test04_City_D04,69.0,1280,720,0,30.0,0,0,0
Test04_City_D05,65.86,1280,720,0,29.97002997003,0,0,0
Test04_City_D06,-6.5,1280,720,0,10.7399964987611,0,0,0
Test04_City_D07,16.12,1280,720,0,14.9799942177222,0,0,0
Test04_City_D08,26.17,1280,720,0,14.9699926497336,0,0,0
Test04_City_D09,62.08,1280,720,0,30.109961579689,0,0,0
Test04_City_D10,38.64,1280,720,0,24.9699736067379,0,0,0
Test04_City_D11,-1.11,1280,720,0,14.2800022848004,0,0,0
Test04_City_D12,35.17,1280,720,0,29.0999671170372,0,0,0
Test04_City_D13,52.28,1280,720,0,29.97002997003,0,0,0
Test04_City_D14,42.63,1280,720,0,23.6700396473164,0,0,0
Test04_Newspaper_D01,70.38,1280,720,0,29.97002997003,0,0,0
Test04_Newspaper_D02,82.05,1280,720,0,25.0,0,0,0
Test04_Newspaper_D03,81.33,1280,720,0,25.0,0,0,0
Test04_Newspaper_D04,82.52,1280,720,0,30.0,0,0,0
Test04_Newspaper_D05,79.36,1280,720,0,29.97002997003,0,0,0
Test04_Newspaper_D06,5.08,1280,720,0,12.9100056416725,0,0,0
